geno_pos	seqname	gene_pos	Kronja_mature_oocyte	Kronja_activated_egg	Samuels_GSC_AHS0	Samuels_GSC_AHS0.5	Samuels_GSC_AHS5	Samuels_GSC_AHS9	Samuels_GSC_AHS18	Samuels_GSC_AHS28	Samuels_GSC_AHS38	Douka_S2_UTD2	dmel_em_0_2h	dmel_em_2_6h	dmel_em_6_12h	dmel_em_12_24h	dmel_larva	dmel_pupa	dmel_female_body	dmel_male_body	dmel_female_head	dmel_male_head	Luo_S2_cell_ago2KD	Luo_S2_cell_ago2KD_serum_starvation	Luo_S2_cell_DMSO	Luo_S2_cell_dsNC	Luo_S2_cell_normal_starvation	Luo_S2_cell_rapamycin	Luo_S2_cell_serum_starvation	Luo_S2_cell_ssNC	Luo_S2_cell_T3	Luo_S2_cell_T6	Luo_S2_cell_T10	Dunn_em02	sum
2L_10145211	2L	10145211	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2L_10145238	2L	10145238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10145316	2L	10145316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2L_10145486	2L	10145486	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
2L_10145509	2L	10145509	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2L_10145633	2L	10145633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10145638	2L	10145638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10145643	2L	10145643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10145715	2L	10145715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2L_10145735	2L	10145735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10145826	2L	10145826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
2L_10145843	2L	10145843	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2L_10145898	2L	10145898	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
2L_10146015	2L	10146015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146068	2L	10146068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
2L_10146074	2L	10146074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10146322	2L	10146322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10146375	2L	10146375	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2L_10146386	2L	10146386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146426	2L	10146426	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2L_10146449	2L	10146449	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10146462	2L	10146462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146465	2L	10146465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146486	2L	10146486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146602	2L	10146602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146649	2L	10146649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146668	2L	10146668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10146682	2L	10146682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146750	2L	10146750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146949	2L	10146949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10146967	2L	10146967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10178062	2L	10178062	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	17
2L_10178233	2L	10178233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10178259	2L	10178259	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2L_10178280	2L	10178280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10178376	2L	10178376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10178406	2L	10178406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10178440	2L	10178440	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10178453	2L	10178453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10180137	2L	10180137	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6
2L_10180146	2L	10180146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10198641	2L	10198641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10198712	2L	10198712	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	8
2L_10198744	2L	10198744	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2L_10198881	2L	10198881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10198901	2L	10198901	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
2L_10198966	2L	10198966	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3
2L_10201007	2L	10201007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10206871	2L	10206871	8	2	6	4	3	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	2	7	5	3	1	54
2L_10209512	2L	10209512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2L_10209659	2L	10209659	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2L_10209668	2L	10209668	0	0	0	0	0	0	0	0	0	0	0	0	3	11	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
2L_10209729	2L	10209729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10218887	2L	10218887	5	0	10	5	38	19	4	47	30	2	0	2	1	15	2	11	25	40	6	3	11	10	0	2	1	0	1	5	6	3	3	1	308
2L_10219942	2L	10219942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
2L_10220008	2L	10220008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10220047	2L	10220047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2
2L_10220057	2L	10220057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10220061	2L	10220061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10220084	2L	10220084	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
2L_10220114	2L	10220114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2
2L_10220217	2L	10220217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
2L_10220300	2L	10220300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	4
2L_10220327	2L	10220327	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
2L_10220341	2L	10220341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
2L_10220389	2L	10220389	0	0	0	2	2	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	15
2L_10220511	2L	10220511	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2L_10220570	2L	10220570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10220617	2L	10220617	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5
2L_10220647	2L	10220647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10220830	2L	10220830	6	0	0	4	6	3	1	0	1	0	0	0	0	0	1	2	1	3	1	1	1	0	4	1	1	2	0	1	2	2	1	0	45
2L_10222697	2L	10222697	4	1	3	2	2	0	1	2	0	0	0	0	1	0	0	2	3	5	0	0	5	1	1	1	0	2	0	0	2	2	0	3	43
2L_10222730	2L	10222730	3	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	13
2L_10222750	2L	10222750	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	10
2L_10222770	2L	10222770	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	4	3	4	0	18
2L_10222779	2L	10222779	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	2	0	0	9
2L_10222791	2L	10222791	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	2	3	0	0	3	0	0	2	0	1	1	18
2L_10222865	2L	10222865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	5	3	1	0	12
2L_10222872	2L	10222872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2
2L_10222898	2L	10222898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
2L_10222909	2L	10222909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10222960	2L	10222960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10223005	2L	10223005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2L_10223032	2L	10223032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3
2L_10223041	2L	10223041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10225787	2L	10225787	18	25	4	0	1	0	3	0	1	0	16	9	2	3	2	2	9	4	2	3	8	25	1	6	3	2	1	11	14	20	13	7	215
2L_10225883	2L	10225883	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	16
2L_10225916	2L	10225916	5	6	5	0	0	0	1	2	1	0	43	7	4	6	0	0	2	3	1	0	6	20	6	2	1	3	2	4	6	4	4	25	169
2L_10225936	2L	10225936	0	6	1	0	0	0	0	0	1	1	15	12	7	10	0	5	7	9	3	3	1	1	9	4	0	3	0	6	3	3	0	9	119
2L_10225949	2L	10225949	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	11
2L_10225958	2L	10225958	1	3	0	0	0	0	0	0	0	0	10	0	0	1	0	3	0	2	1	1	1	2	1	0	1	0	0	0	3	0	0	4	34
2L_10226672	2L	10226672	8	8	0	0	0	0	0	0	0	0	7	4	1	0	2	3	4	2	2	1	19	20	14	0	3	5	0	3	31	18	12	5	172
2L_10226714	2L	10226714	31	18	16	13	35	21	6	25	18	2	50	26	22	27	9	9	10	41	16	9	53	133	42	37	12	32	7	53	148	87	41	8	1057
2L_10226750	2L	10226750	24	9	1	6	3	1	1	0	0	0	10	3	0	2	2	1	4	1	2	0	3	5	1	2	1	0	0	1	8	5	3	6	105
2L_10226771	2L	10226771	12	14	3	2	4	1	2	1	0	2	23	10	9	7	3	3	5	16	9	6	16	19	9	1	0	0	0	4	13	9	2	9	214
2L_10226786	2L	10226786	8	12	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	8	9	0	0	17	0	0	1	3	2	2	0	68
2L_10231336	2L	10231336	1	1	1	0	0	0	0	0	0	0	14	2	1	0	1	3	5	1	1	2	0	3	0	1	1	0	0	0	2	3	0	7	50
2L_10231339	2L	10231339	5	13	0	0	1	1	0	0	0	1	22	4	5	1	2	0	5	3	0	3	1	1	4	0	1	0	0	0	8	2	1	5	89
2L_10231396	2L	10231396	2	2	0	0	0	0	0	0	0	0	44	6	5	7	3	2	4	8	4	4	7	10	1	0	0	3	0	0	1	2	0	15	130
2L_10231425	2L	10231425	1	7	0	0	0	0	0	0	0	0	1	0	2	0	0	4	2	2	0	1	8	8	0	4	0	1	0	3	4	3	2	1	54
2L_10231463	2L	10231463	0	7	1	0	0	1	0	3	0	0	26	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	51
2L_10231469	2L	10231469	3	11	0	3	1	0	0	0	1	0	21	9	3	1	0	0	0	4	0	1	6	10	3	2	1	2	0	2	4	5	1	8	102
2L_10231487	2L	10231487	12	13	6	1	0	1	0	0	0	0	22	6	4	2	1	1	5	7	0	0	9	12	1	1	1	5	0	4	8	3	2	29	156
2L_10231528	2L	10231528	4	34	1	0	0	1	0	6	2	1	82	1	2	6	0	6	16	15	7	2	4	15	1	1	0	0	1	5	12	13	7	27	272
2L_10231603	2L	10231603	20	12	0	2	2	3	0	3	0	5	25	2	0	1	8	4	1	7	1	4	1	0	2	1	1	0	0	1	5	4	2	12	129
2L_10231641	2L	10231641	61	86	0	1	2	5	1	1	1	0	3	4	1	4	1	1	0	4	0	0	5	12	2	7	0	0	0	0	9	1	0	7	219
2L_10237929	2L	10237929	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2L_10237939	2L	10237939	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10237961	2L	10237961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2L_10237979	2L	10237979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5
2L_10238059	2L	10238059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10238082	2L	10238082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10238107	2L	10238107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10238149	2L	10238149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10238170	2L	10238170	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10238216	2L	10238216	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
2L_10238248	2L	10238248	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	5	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	15
2L_10239357	2L	10239357	27	9	5	1	0	0	0	1	0	1	6	4	9	2	4	3	10	6	1	1	23	45	11	5	9	5	5	9	40	15	8	12	277
2L_10239436	2L	10239436	333	98	13	2	1	0	4	4	2	6	22	10	0	7	10	4	26	12	3	4	3	7	2	0	0	1	0	2	0	2	1	18	597
2L_10239941	2L	10239941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
2L_10239977	2L	10239977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10246235	2L	10246235	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2L_10246251	2L	10246251	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
2L_10246267	2L	10246267	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3
2L_10246322	2L	10246322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
2L_10246367	2L	10246367	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7
2L_10246374	2L	10246374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2L_10246512	2L	10246512	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2L_10246970	2L	10246970	5	4	10	21	62	38	18	35	24	0	6	9	2	6	2	0	6	15	3	2	15	39	8	6	22	9	1	7	14	9	4	10	412
2L_10246977	2L	10246977	0	0	0	1	1	1	0	2	0	0	4	4	0	3	0	2	2	7	4	2	4	6	2	0	2	7	1	1	1	1	1	4	63
2L_10247026	2L	10247026	3	1	17	9	14	6	4	11	5	0	8	4	1	4	0	4	5	8	2	2	24	31	22	17	3	25	7	14	59	35	19	2	366
2L_10247067	2L	10247067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2
2L_10249253	2L	10249253	2	3	1	4	1	0	1	2	1	0	6	4	25	20	2	4	27	18	15	11	9	10	11	6	9	4	0	1	9	7	8	8	229
2L_10249353	2L	10249353	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2L_10249414	2L	10249414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10249455	2L	10249455	1	0	0	0	0	0	0	0	0	0	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
2L_10249568	2L	10249568	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4
2L_10249629	2L	10249629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
2L_10249650	2L	10249650	0	0	1	0	3	2	0	1	0	0	0	8	1	0	1	1	1	1	3	5	23	36	1	3	1	1	2	3	10	6	8	0	122
2L_10250283	2L	10250283	0	0	7	4	2	0	0	10	1	4	3	14	5	9	1	6	5	20	16	7	2	5	6	3	0	0	0	2	3	2	1	2	140
2L_10250375	2L	10250375	0	0	5	2	11	3	1	5	2	1	2	1	6	12	4	6	7	9	8	10	1	1	0	1	0	9	0	0	1	0	0	2	110
2L_10250434	2L	10250434	5	0	5	2	4	6	9	2	1	0	2	5	4	15	1	4	1	14	4	2	52	46	9	15	75	5	1	12	47	29	7	2	386
