trid	gene	dmel_tr_len	S2_tr_mRNA	S2_tr_mRNA_rpkm	S2_tr_rank
FBtr0070127	FBgn0025637	1050	3074.99133000001	178.225168260683	6
FBtr0070128	FBgn0025637	913	2828.94273	188.567921853542	5
FBtr0070129	FBgn0025637	869	2823.93321	197.76483953724	3
FBtr0070130	FBgn0021764	8960	856.700669999981	5.81882818445009	7
FBtr0070131	FBgn0021764	8984	861.85387999998	5.83819147906238	6
FBtr0070132	FBgn0021764	8908	856.52417999998	5.85158955819023	4
FBtr0070133	FBgn0021764	8843	849.47819999998	5.8461109048481	5
FBtr0070134	FBgn0040383	1236	152.23757	7.4957968745622	1
FBtr0070135	FBgn0040382	2124	492.565760000002	14.1131560521062	2
FBtr0070136	FBgn0040382	2103	489.401080000002	14.1625053711979	1
FBtr0070137	FBgn0040382	2193	495.448010000002	13.7490880606331	3
FBtr0070138	FBgn0027343	2249	18.1586500000001	0.491369888746453	1
FBtr0070139	FBgn0086368	2671	0	0	2
FBtr0070140	FBgn0025621	3208	912.143919999993	17.3038780163355	1
FBtr0070141	FBgn0260855	1743	1587.98567	55.4451584306223	1
FBtr0070142	FBgn0029535	475	0	0	1
FBtr0070145	FBgn0025616	1802	1.41189	0.0476826641435131	1
FBtr0070146	FBgn0015799	3619	2962.03442000001	49.8099326648798	1
FBtr0070147	FBgn0025620	1603	1.00008	0.0379678195385656	1
FBtr0070148	FBgn0015288	1100	36358.84876	2011.55483196302	1
FBtr0070149	FBgn0029532	1565	0	0	1
FBtr0070150	FBgn0029531	1686	0	0	1
FBtr0070151	FBgn0025639	6137	2265.80753999999	22.4688751600066	2
FBtr0070155	FBgn0002579	568	21042.18369	2254.53462026198	4
FBtr0070156	FBgn0002579	555	21284.95689	2333.96440634898	3
FBtr0070157	FBgn0002579	535	21186.36423	2410.0002582635	2
FBtr0070158	FBgn0002579	592	21291.0759	2188.72066462322	5
FBtr0070159	FBgn0026879	387	1195.17822	187.947322070396	1
FBtr0070160	FBgn0029529	499	227.82186	27.784928559773	1
FBtr0070161	FBgn0025633	4310	1414.95947	19.9793413454035	4
FBtr0070163	FBgn0040341	881	0	0	1
FBtr0070164	FBgn0029539	634	0	0	2
FBtr0070165	FBgn0040339	602	286.98351	29.0118142766407	1
FBtr0070167	FBgn0040340	2100	3237.51926	93.8226084137772	4
FBtr0070168	FBgn0040340	1777	3174.41632	108.715355986374	3
FBtr0070169	FBgn0040340	1896	2715.59331	87.1647389753905	5
FBtr0070170	FBgn0040347	2155	213.62227	6.0327272148791	1
FBtr0070171	FBgn0042146	667	21.55135	1.96636023463368	1
FBtr0070172	FBgn0029552	590	0	0	1
FBtr0070173	FBgn0040337	1412	243.018809999999	10.4741702810084	1
FBtr0070174	FBgn0053082	796	72.8364899999998	5.56865584063887	1
FBtr0070175	FBgn0014903	1358	105.296060000001	4.71874803192168	1
FBtr0070176	FBgn0003638	3199	1692.47917	32.1976021068187	1
FBtr0070177	FBgn0003638	4056	1829.79728	27.4548748401594	5
FBtr0070178	FBgn0003638	4836	1926.12504	24.2388840877168	6
FBtr0070179	FBgn0040398	1107	1118.47709	61.4885014318614	1
FBtr0070180	FBgn0040365	489	2.00023	0.248934743290122	1
FBtr0070181	FBgn0040397	4766	11.08784	0.1415817738426	2
FBtr0070182	FBgn0026143	2214	852.249560000001	23.4262948963771	1
FBtr0070183	FBgn0040351	2462	148.01279	3.65869016786201	1
FBtr0070184	FBgn0040338	462	10.00099	1.31739331198478	1
FBtr0070185	FBgn0040350	2073	8.00076000000003	0.234880183631501	1
FBtr0070186	FBgn0040349	839	0	0	1
FBtr0070187	FBgn0040348	2496	25.23759	0.615343668789116	1
FBtr0070188	FBgn0040346	1515	634.636839999999	25.4933602360483	1
FBtr0070189	FBgn0040342	1545	18.00202	0.709099522551792	1
FBtr0070195	FBgn0040343	987	0	0	1
FBtr0070197	FBgn0040364	1199	67.0058399999997	3.40101000657515	1
FBtr0070198	FBgn0040362	783	0	0	2
FBtr0070199	FBgn0040361	1430	0	0	2
FBtr0070200	FBgn0040360	1413	0	0	1
FBtr0070201	FBgn0040359	2704	0	0	2
FBtr0070202	FBgn0040358	2579	20.33218	0.47978541372689	1
FBtr0070203	FBgn0029568	1603	1.00011	0.0379689584820363	1
FBtr0070204	FBgn0040357	819	0	0	1
FBtr0070205	FBgn0040367	1884	0	0	1
FBtr0070206	FBgn0025642	1599	35.89408	1.36611984297314	2
FBtr0070207	FBgn0004650	6581	1.39231	0.0128753335410495	1
FBtr0070209	FBgn0024362	2347	920.50555	23.8686446355944	2
FBtr0070211	FBgn0024361	1002	31.7085400000001	1.9258522308793	2
FBtr0070212	FBgn0024364	2460	1052.75584	26.0439581635581	1
FBtr0070213	FBgn0029573	690	13.25652	1.16921634383485	1
FBtr0070215	FBgn0024987	3055	2238.94619	44.6012343733489	2
FBtr0070216	FBgn0023169	2708	1608.76034	36.1540644690389	1
FBtr0070217	FBgn0023169	2853	1616.86729	34.4895112743245	3
FBtr0070218	FBgn0023169	2739	1607.06631	35.7072333235887	2
FBtr0070219	FBgn0052813	3697	150.025129999999	2.46961354277212	7
FBtr0070222	FBgn0052813	3438	157.8526	2.79421811638457	3
FBtr0070225	FBgn0024985	3784	1359.46750999998	21.8641270306252	2
FBtr0070230	FBgn0027794	3382	1176.82073	21.1763518175585	1
FBtr0070231	FBgn0027795	1713	52.94502	1.88097139305077	1
FBtr0070233	FBgn0024986	831	578.21019	42.3447091492553	1
FBtr0070234	FBgn0000826	1114	408.73787	22.3292493475212	1
FBtr0070235	FBgn0024365	3623	1506.37163000001	25.3033621146869	1
FBtr0070236	FBgn0024360	2319	482.726590000001	12.6681999623326	2
FBtr0070237	FBgn0024360	1374	273.90621	12.1319212567007	3
FBtr0070238	FBgn0024366	4457	8.00029000000002	0.109238953919997	2
FBtr0070239	FBgn0025641	5365	68.0199099999998	0.771579647655936	4
FBtr0070241	FBgn0025641	4274	60.9665299999997	0.868103278204485	1
FBtr0070244	FBgn0028550	7025	415.213990000001	3.59699708821289	2
FBtr0070245	FBgn0026876	2890	497.906730000002	10.4849071912651	1
FBtr0070249	FBgn0261444	8332	5249.57984000003	38.3433205959841	7
FBtr0070250	FBgn0040366	1487	121.3221	4.96527592179997	1
FBtr0070251	FBgn0040363	2159	2.00022	0.0563818809140381	1
FBtr0070252	FBgn0040368	1638	0.37428	0.0139058378269431	1
FBtr0070253	FBgn0026872	859	262.291970000001	18.5825909898686	2
FBtr0070254	FBgn0029580	753	8.13178000000003	0.657211389588714	1
FBtr0070255	FBgn0013720	1399	266.644840000001	11.5992499264202	3
FBtr0070256	FBgn0013720	1289	266.958600000001	12.6039141277978	1
FBtr0070257	FBgn0025383	1082	59.8248200000002	3.36487222002697	1
FBtr0070258	FBgn0260986	1333	427.07721	19.4980277591427	1
FBtr0070259	FBgn0025381	2082	3888.71773	113.668500762746	1
FBtr0070260	FBgn0025394	3254	1372.70721	25.6728925437023	2
FBtr0070261	FBgn0000210	3867	240.102580000002	3.77865369409679	2
FBtr0070262	FBgn0000210	4419	238.021959999999	3.27798877743175	13
FBtr0070263	FBgn0000210	4155	240.102580000002	3.51673979183448	5
FBtr0070265	FBgn0000210	8223	453.584619999998	3.35693140331321	10
FBtr0070266	FBgn0000210	4236	237.551319999999	3.41284004059645	8
FBtr0070269	FBgn0000482	3161	894.274129999999	17.2171240453607	1
FBtr0070270	FBgn0001189	2540	496.720540000002	11.9012571535938	1
FBtr0070272	FBgn0024897	2139	36.3944000000002	1.035471657965	1
FBtr0070277	FBgn0025391	2149	0	0	4
FBtr0070278	FBgn0025378	1115	0	0	2
FBtr0070279	FBgn0023130	2210	530.928689999994	14.6203697901888	2
FBtr0070283	FBgn0023530	829	500.98287	36.777548992361	1
FBtr0070284	FBgn0025390	6411	71.3449200000007	0.677254212928937	2
FBtr0070285	FBgn0025393	457	0	0	1
FBtr0070288	FBgn0053513	4176	0.38096	0.00555179376642525	5
FBtr0070289	FBgn0003517	1109	66731.4306700001	3661.9577271671	4
FBtr0070290	FBgn0003517	1083	66714.8005300001	3748.93725754048	2
FBtr0070293	FBgn0025382	1466	181.656629999999	7.54104825212604	1
FBtr0070294	FBgn0025382	1564	192.721999999999	7.49909718842031	2
FBtr0070295	FBgn0052808	1063	26.0020600000002	1.48863740882166	1
FBtr0070296	FBgn0027791	1634	926.790860000003	34.5178809687409	1
FBtr0070297	FBgn0266284	2040	1105.67283	32.9845760988388	1
FBtr0070298	FBgn0027793	870	19.14515	1.33922626325842	1
FBtr0070299	FBgn0026086	2648	605.3687	13.912860112468	7
FBtr0070300	FBgn0026086	6645	730.666079999959	6.69172982083607	14
FBtr0070301	FBgn0052806	803	0	0	1
FBtr0070308	FBgn0026873	842	353.734569999999	25.5670046399307	1
FBtr0070310	FBgn0023513	3419	733.938870000004	13.063971520273	1
FBtr0070311	FBgn0014411	2543	2249.71003	53.8387069995175	1
FBtr0070312	FBgn0023514	1704	1736.35957	62.0132527032448	1
FBtr0070313	FBgn0029594	1019	601.405589999999	35.9176333937437	2
FBtr0070314	FBgn0023519	869	1073.85991	75.2042335968084	1
FBtr0070315	FBgn0023509	3459	1714.18053	30.1592427455064	1
FBtr0070316	FBgn0023510	6065	4542.58869000001	45.5813356455999	1
FBtr0070317	FBgn0023508	3688	2412.33434	39.8071443452504	2
FBtr0070318	FBgn0023522	1791	874.69056	29.7216756521396	3
FBtr0070319	FBgn0023522	1747	857.9199	29.8860331302952	1
FBtr0070320	FBgn0023522	1648	754.646030000001	27.867661148336	5
FBtr0070321	FBgn0023521	1105	208.66981	11.4924276789355	1
FBtr0070326	FBgn0261954	7368	5109.43668000002	42.2024672072623	3
FBtr0070328	FBgn0025627	1097	44.5721900000002	2.47270201316706	1
FBtr0070330	FBgn0025630	2070	648.436739999998	19.0638979750087	2
FBtr0070331	FBgn0025629	923	981.89038	64.7404540436908	1
FBtr0070334	FBgn0025628	2436	6381.89893999999	159.436251663682	1
FBtr0070335	FBgn0025628	2466	6029.76714999999	148.80650138024	6
FBtr0070336	FBgn0025628	2371	6024.11616999999	154.623756907515	5
FBtr0070337	FBgn0025628	2097	5485.18247	159.186812172705	2
FBtr0070338	FBgn0029596	920	3.00033000000001	0.198470349282732	1
FBtr0070339	FBgn0025626	2664	2538.68278	57.9947463811365	1
FBtr0070340	FBgn0025625	5230	65.0069599999998	0.756436723920075	1
FBtr0070341	FBgn0025631	2941	1037.18675	21.4623054980224	5
FBtr0070342	FBgn0026878	583	2.98073	0.311149079650474	1
FBtr0070343	FBgn0000667	3511	3346.71575999999	58.0099426668915	4
FBtr0070344	FBgn0000667	3511	3430.30926999999	59.4589019063891	1
FBtr0070345	FBgn0000667	4868	3346.50762999999	41.8365329544747	9
FBtr0070346	FBgn0003964	2515	2376.25574999999	57.5002361393776	1
FBtr0070347	FBgn0023545	1203	878.649989999998	44.4492787088965	1
FBtr0070349	FBgn0023520	2341	268.454600000002	6.97885014938998	1
FBtr0070350	FBgn0023512	2297	1703.92462	45.1443931828095	1
FBtr0070351	FBgn0023512	2447	1712.56832	42.5920333111082	2
FBtr0070352	FBgn0023511	4251	1685.86974	24.1350024579354	5
FBtr0070353	FBgn0023511	3221	1521.11282	28.7398924531975	1
FBtr0070354	FBgn0023511	3670	1581.2393	26.2208020766158	4
FBtr0070355	FBgn0052801	937	22.9629300000001	1.49142750421343	1
FBtr0070356	FBgn0052803	818	532.140010000001	39.5901408301708	2
FBtr0070362	FBgn0023518	8251	3871.74357000002	28.5571219080168	1
FBtr0070363	FBgn0023518	8314	3871.74357000002	28.3407280326013	2
FBtr0070364	FBgn0026088	501	763.373950000001	92.7286733859482	1
FBtr0070365	FBgn0026089	508	769.8403	92.2255739364001	1
FBtr0070366	FBgn0023517	1100	1167.59984	64.5975100987012	2
FBtr0070367	FBgn0023516	2158	303.694380000001	8.56445539212781	2
FBtr0070368	FBgn0023516	1972	309.829820000001	9.56160373172294	1
FBtr0070369	FBgn0023515	3451	372.451950000003	6.56809960108793	2
FBtr0070370	FBgn0023515	3385	369.225540000004	6.63815667001133	1
FBtr0070371	FBgn0028969	2170	3524.1563	98.8347947232566	2
FBtr0070372	FBgn0026090	720	351.720530000001	29.7289560758904	1
FBtr0070374	FBgn0029589	720	0	0	1
FBtr0070375	FBgn0025624	1240	715.280699999999	35.105022731118	1
FBtr0070376	FBgn0040395	2970	5874.12693	120.365303211253	2
FBtr0070377	FBgn0040395	2860	5803.82002	123.498686895027	1
FBtr0070378	FBgn0000382	4560	1811.84758999999	24.180832952792	1
FBtr0070379	FBgn0000382	7664	1677.09505	13.3173133282032	4
FBtr0070380	FBgn0000382	4106	1626.10492999999	24.1014992128485	2
FBtr0070381	FBgn0023507	1862	195.330019999999	6.38415988190787	1
FBtr0070382	FBgn0023507	1966	195.643779999999	6.05615481372432	2
FBtr0070383	FBgn0023507	1987	184.19187	5.64140172261377	3
FBtr0070384	FBgn0004654	1895	3698.88284	118.788882857687	2
FBtr0070385	FBgn0023540	1948	332.036140000002	10.3731543647014	4
FBtr0070386	FBgn0025839	512	897.65492	106.697413458439	1
FBtr0070387	FBgn0011576	1582	38.6692700000002	1.48755807984923	1
FBtr0070388	FBgn0015036	1822	15.4152700000001	0.514893251879983	1
FBtr0070389	FBgn0003116	1638	316.50983	11.7594698263688	1
FBtr0070390	FBgn0040899	372	655.056070000001	107.16426072313	1
FBtr0070392	FBgn0024984	891	628.00563	42.8943676646791	1
FBtr0070393	FBgn0023549	2955	838.009659999998	17.2586164228874	1
FBtr0070396	FBgn0000810	3052	548.368540000001	10.9345883722018	1
FBtr0070397	FBgn0023523	1267	5.00041999999999	0.240184128455032	1
FBtr0070398	FBgn0023527	1921	1615.92543	51.1927414769715	1
FBtr0070399	FBgn0040391	1643	0.17649	0.00653727834091556	1
FBtr0070401	FBgn0003079	3247	1743.34237	32.6749426176016	1
FBtr0070402	FBgn0003159	4269	2245.63602999999	32.0130939931818	2
FBtr0070403	FBgn0003159	5069	2321.24900999998	27.8685181839137	6
FBtr0070404	FBgn0003159	4599	2277.90796999998	30.1430505183118	3
FBtr0070405	FBgn0040389	653	1076.46948	100.323569712475	2
FBtr0070406	FBgn0044047	1908	2352.52215	75.0360195146864	3
FBtr0070407	FBgn0040392	952	29.00166	1.85395993792948	1
FBtr0070408	FBgn0023526	2079	700.777189999998	20.5135065694604	1
FBtr0070411	FBgn0023529	3175	9715.82586999998	186.230337305412	1
FBtr0070412	FBgn0023528	2656	2219.36414	50.85280704053	2
FBtr0070414	FBgn0027296	2163	367.027560000004	10.3265819041955	2
FBtr0070415	FBgn0023524	3979	4.0003	0.061183322877698	1
FBtr0070416	FBgn0029608	1219	40.3229	2.01308674840551	1
FBtr0070417	FBgn0023525	1247	59.90619	2.92361164442396	2
FBtr0070418	FBgn0000377	2332	2268.31162	59.195488430978	1
FBtr0070419	FBgn0001330	3927	1178.10754	18.2573806839575	2
FBtr0070420	FBgn0004397	3766	6179.37693000001	99.8570675755505	1
FBtr0070421	FBgn0053548	1547	0.15688	0.00617151379106472	4
FBtr0070422	FBgn0053548	1749	1.39232	0.0484466430012053	1
FBtr0070423	FBgn0023550	1681	0.13727	0.00496961056242116	1
FBtr0070424	FBgn0029603	1109	0	0	2
FBtr0070425	FBgn0023542	1791	1717.88442	58.3731045858137	1
FBtr0070426	FBgn0023541	1685	62.7995500000003	2.26814629687164	1
FBtr0070427	FBgn0005670	1644	1.15687	0.0428249813722307	1
FBtr0070428	FBgn0005670	1685	0.999990000000001	0.0361168768790328	2
FBtr0070429	FBgn0004655	6768	4020.76133000002	36.1545017825715	2
FBtr0070430	FBgn0004655	5067	3265.99544000001	39.2264590697668	1
FBtr0070431	FBgn0013432	748	525.264150000001	42.7356781176981	1
FBtr0070432	FBgn0004861	5940	48.6328200000002	0.498261630628256	1
FBtr0070433	FBgn0004860	5821	737.639719999996	7.71189542644885	2
FBtr0070434	FBgn0040394	1936	2662.86525	83.7063247697572	1
FBtr0070435	FBgn0004050	2599	1381.52521000001	32.3494552438878	3
FBtr0070436	FBgn0260753	2910	6.02274000000002	0.125955043745183	3
FBtr0070437	FBgn0040376	958	1.00011	0.0635326100696285	2
FBtr0070438	FBgn0040066	1634	1324.77641	49.3406618517749	1
FBtr0070439	FBgn0001404	3595	948.736819999999	16.0605826914315	1
FBtr0070440	FBgn0001404	3303	780.876739999991	14.3875998231772	3
FBtr0070441	FBgn0004643	2567	1079.23141	25.5860441389139	1
FBtr0070442	FBgn0040336	2045	218.74589	6.50970077677191	1
FBtr0070445	FBgn0040334	1280	495.055569999999	23.5373962356017	1
FBtr0070446	FBgn0029629	1027	4772.68277999999	282.817684891822	1
FBtr0070447	FBgn0011566	1762	321.456249999999	11.1027460606438	1
FBtr0070448	FBgn0011606	4527	1353.6276	18.1971402897603	2
FBtr0070457	FBgn0040388	4223	349.567059999997	5.03760205418069	2
FBtr0070458	FBgn0040388	2721	310.394829999998	6.94225199599001	1
FBtr0070459	FBgn0003714	663	855.07795	78.4886059961381	1
FBtr0070460	FBgn0001150	1780	16.94919	0.579486579811543	1
FBtr0070461	FBgn0052797	931	0	0	1
FBtr0070462	FBgn0040385	1537	0	0	1
FBtr0070466	FBgn0003371	2847	1391.00398999999	29.734137502579	4
FBtr0070467	FBgn0003371	2929	1275.37686	26.4992509639926	7
FBtr0070468	FBgn0003371	3055	1518.16264999999	30.242767098174	2
FBtr0070469	FBgn0003371	4244	1690.47294999999	24.2408189240203	10
FBtr0070470	FBgn0003371	3110	1509.13631999999	29.5312968458787	5
FBtr0070471	FBgn0003371	4805	1395.89566999999	17.6796639148866	14
FBtr0070472	FBgn0003371	3021	1509.13631999999	30.4013019499115	1
FBtr0070473	FBgn0003371	3091	1518.80977999999	29.9032792716726	3
FBtr0070474	FBgn0003371	3218	1274.01398	24.0936496398642	11
FBtr0070475	FBgn0003371	3174	1228.77753999999	23.5602979860208	12
FBtr0070476	FBgn0003371	2745	1188.28115	26.3445810148083	8
FBtr0070477	FBgn0003068	4527	29.90455	0.402014033735831	1
FBtr0070478	FBgn0024993	1645	132.340829999999	4.89601104245483	1
FBtr0070479	FBgn0024996	1357	604.36853	27.1041898938214	1
FBtr0070480	FBgn0024997	2283	94.7564900000009	2.52590777924887	1
FBtr0070481	FBgn0024991	3075	618.862549999997	12.2479532281239	2
FBtr0070482	FBgn0024991	3152	622.420139999997	12.0174373013864	3
FBtr0070484	FBgn0000928	3502	686.688359999998	11.9332291651781	1
FBtr0070485	FBgn0000927	2235	18.00151	0.490169004471588	1
FBtr0070486	FBgn0024977	827	59.8534600000002	4.404515963954	1
FBtr0070487	FBgn0000520	2002	419.271760000001	12.7451800547459	1
FBtr0070488	FBgn0024975	1804	127.48112	4.30054774911298	1
FBtr0070489	FBgn0040356	966	2.00022	0.126012920179512	1
FBtr0070490	FBgn0003996	2352	39.0038500000001	1.00921709187975	1
FBtr0070491	FBgn0040384	1845	347.59362	11.4654172135484	3
FBtr0070492	FBgn0040384	1866	348.55544	11.3677538928203	4
FBtr0070493	FBgn0040384	1829	347.5544	11.5644111131974	2
FBtr0070494	FBgn0024980	1667	453.855259999999	16.5689966501054	2
FBtr0070495	FBgn0000376	3837	608.089189999998	9.64472658937968	2
FBtr0070496	FBgn0000376	3780	602.833919999998	9.70555372673796	1
FBtr0070497	FBgn0250874	1728	1517.15032	53.4317393317488	1
FBtr0070498	FBgn0024973	2425	887.060479999999	22.2615769360169	1
FBtr0070499	FBgn0024998	1952	488.68906	15.2358693676451	1
FBtr0070501	FBgn0024994	2013	1128.24047	34.10926300729	1
FBtr0070502	FBgn0024992	3029	1158.90575999999	23.2843052935058	1
FBtr0070504	FBgn0000092	1013	3.96122000000001	0.237976435170901	1
FBtr0070505	FBgn0025838	946	0	0	1
FBtr0070506	FBgn0011276	1428	0	0	1
FBtr0070507	FBgn0004647	10150	5577.31393999997	33.4405556956137	2
FBtr0070508	FBgn0040396	931	1291.38716	84.4153100366547	2
FBtr0070509	FBgn0000479	4093	213.737900000001	3.17800246912338	6
FBtr0070511	FBgn0000479	3834	190.52154	3.02417146759562	9
FBtr0070512	FBgn0000479	3792	189.932070000001	3.04820667432814	7
FBtr0070513	FBgn0000479	3831	190.46154	3.02558651892316	8
FBtr0070515	FBgn0000479	3828	189.607000000001	3.01437219084017	10
FBtr0070517	FBgn0000479	2841	213.151200000001	4.56594825195895	3
FBtr0070518	FBgn0000479	2386	194.209160000001	4.95351756536978	1
FBtr0070519	FBgn0000479	11128	264.258680000002	1.44519543537206	16
FBtr0070520	FBgn0000479	2604	203.694860000001	4.76051049776145	2
FBtr0070521	FBgn0000479	2435	170.30857	4.25649349192301	5
FBtr0070522	FBgn0000479	2167	158.94531	4.46378474081553	4
FBtr0070523	FBgn0002933	523	0	0	1
FBtr0070525	FBgn0262656	3484	3165.96495	55.3021980333706	1
FBtr0070526	FBgn0029660	1758	2.76501	0.0957177039749412	2
FBtr0070527	FBgn0029662	2416	423.901290000001	10.6778113845507	1
FBtr0070528	FBgn0029662	2653	450.441420000002	10.3327401019567	3
FBtr0070529	FBgn0029662	2348	407.146710000001	10.5527894719164	2
FBtr0070530	FBgn0029661	1509	0	0	2
FBtr0070531	FBgn0029659	1155	1.00011	0.0526963120750685	1
FBtr0070532	FBgn0029658	835	14.00146	1.02047245227565	1
FBtr0070534	FBgn0029657	1392	17.55025	0.767288181561357	3
FBtr0070536	FBgn0029656	1659	0	0	1
FBtr0070537	FBgn0003086	690	0	0	1
FBtr0070538	FBgn0010296	267	0	0	1
FBtr0070539	FBgn0010295	594	0	0	1
