geno_pos	Kronja_mature_oocyte	Kronja_activated_egg	Samuels_GSC_AHS0	Samuels_GSC_AHS0.5	Samuels_GSC_AHS5	Samuels_GSC_AHS9	Samuels_GSC_AHS18	Samuels_GSC_AHS28	Samuels_GSC_AHS38	Douka_S2_UTD2	dmel_em_0_2h	dmel_em_2_6h	dmel_em_6_12h	dmel_em_12_24h	dmel_larva	dmel_pupa	dmel_female_body	dmel_male_body	dmel_female_head	dmel_male_head	Dunn_em02	sum	group
2L_155358	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	15	group3
2L_156034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_156138	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	5	group2
2L_159287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	group1
2L_159315	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	group1
2L_159433	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	3	group2
2L_159478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_159530	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	group1
2L_159712	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	10	group3
2L_159789	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	13	group3
2L_159815	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	7	group3
2L_162600	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	group2
2L_162724	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	3	group2
2L_162731	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	group1
2L_162756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162759	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	4	group2
2L_162788	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	8	group3
2L_159823	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	group2
2L_160021	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	group1
2L_160030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160059	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	group1
2L_160088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160157	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	group1
2L_160184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	group1
2L_160189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160209	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	group1
2L_160406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_160968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_161868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_162480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_164170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_182829	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	5	group2
2L_182856	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	group1
2L_183102	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	5	group2
2L_183299	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	6	group2
2L_183312	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	4	group2
2L_183336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_183361	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	group1
2L_203782	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	group2
2L_206734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	group1
2L_207184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_207251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_207341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_207349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_207359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_207410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_221901	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	group1
2L_221820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_221812	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	4	group2
2L_221786	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	group1
2L_221760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_221756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_221723	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	group1
2L_250821	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	17	group3
2L_250808	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	6	group2
2L_242734	1	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	13	group3
2L_242716	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	6	group2
2L_242700	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	11	group3
2L_242673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_242909	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	group1
2L_242854	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	group2
2L_242758	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	16	group3
2L_271666	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	16	group3
2L_254706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_254629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_254601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_267439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	group1
2L_267397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_267359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	group1
2L_267144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_267114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_267014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_267002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_266902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_266859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_266833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_266776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_266771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	group1
2L_269145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_273845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_273850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_273860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_273941	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	18	group3
2L_273949	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	group2
2L_278136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_278052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277409	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	group1
2L_277401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277316	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	group1
2L_277311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_277739	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	6	group2
2L_277809	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	group1
2L_283247	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	6	group2
2L_289117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_289105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_289095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_288972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_291778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	group1
2L_292466	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	14	group3
2L_297903	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	4	group2
2L_297952	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	group1
2L_298014	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	group2
2L_298066	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	group1
2L_298144	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	9	group3
2L_298225	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	0	12	group3
2L_298403	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	18	group3
2L_301907	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20	group3
2L_301948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_306110	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	8	group3
2L_306190	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	group1
2L_317774	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	14	group3
2L_317794	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	10	group3
2L_317835	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	6	group2
2L_317841	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	4	group2
2L_317865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
2L_317879	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	4	group2
2L_317918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group0
